Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
leaf,DC1-LEAF1,Ethernet1,spine,DC1-SPINE1,Ethernet1
leaf,DC1-LEAF1,Ethernet2,spine,DC1-SPINE2,Ethernet1
leaf,DC1-LEAF1,Ethernet3,spine,DC1-SPINE3,Ethernet1
leaf,DC1-LEAF1,Ethernet4,spine,DC1-SPINE4,Ethernet1
leaf,DC1-LEAF2,Ethernet1,spine,DC1-SPINE1,Ethernet2
leaf,DC1-LEAF2,Ethernet2,spine,DC1-SPINE2,Ethernet2
leaf,DC1-LEAF2,Ethernet3,spine,DC1-SPINE3,Ethernet2
leaf,DC1-LEAF2,Ethernet4,spine,DC1-SPINE4,Ethernet2
leaf,DC1-LEAF3,Ethernet1,spine,DC1-SPINE1,Ethernet3
leaf,DC1-LEAF3,Ethernet2,spine,DC1-SPINE2,Ethernet3
leaf,DC1-LEAF3,Ethernet3,spine,DC1-SPINE3,Ethernet3
leaf,DC1-LEAF3,Ethernet4,spine,DC1-SPINE4,Ethernet3
leaf,DC1-LEAF4,Ethernet1,spine,DC1-SPINE1,Ethernet4
leaf,DC1-LEAF4,Ethernet2,spine,DC1-SPINE2,Ethernet4
leaf,DC1-LEAF4,Ethernet3,spine,DC1-SPINE3,Ethernet4
leaf,DC1-LEAF4,Ethernet4,spine,DC1-SPINE4,Ethernet4
spine,DC1-SPINE1,Ethernet1,leaf,DC1-LEAF1,Ethernet1
spine,DC1-SPINE1,Ethernet2,leaf,DC1-LEAF2,Ethernet1
spine,DC1-SPINE1,Ethernet3,leaf,DC1-LEAF3,Ethernet1
spine,DC1-SPINE1,Ethernet4,leaf,DC1-LEAF4,Ethernet1
spine,DC1-SPINE1,Ethernet11,spine,DC1-SPINE2,Ethernet11
spine,DC1-SPINE1,Ethernet12,spine,DC1-SPINE3,Ethernet11
spine,DC1-SPINE1,Ethernet13,spine,DC1-SPINE4,Ethernet11
spine,DC1-SPINE2,Ethernet1,leaf,DC1-LEAF1,Ethernet2
spine,DC1-SPINE2,Ethernet2,leaf,DC1-LEAF2,Ethernet2
spine,DC1-SPINE2,Ethernet3,leaf,DC1-LEAF3,Ethernet2
spine,DC1-SPINE2,Ethernet4,leaf,DC1-LEAF4,Ethernet2
spine,DC1-SPINE2,Ethernet11,spine,DC1-SPINE1,Ethernet11
spine,DC1-SPINE2,Ethernet12,spine,DC1-SPINE3,Ethernet12
spine,DC1-SPINE2,Ethernet13,spine,DC1-SPINE4,Ethernet12
spine,DC1-SPINE3,Ethernet1,leaf,DC1-LEAF1,Ethernet3
spine,DC1-SPINE3,Ethernet2,leaf,DC1-LEAF2,Ethernet3
spine,DC1-SPINE3,Ethernet3,leaf,DC1-LEAF3,Ethernet3
spine,DC1-SPINE3,Ethernet4,leaf,DC1-LEAF4,Ethernet3
spine,DC1-SPINE3,Ethernet11,spine,DC1-SPINE1,Ethernet12
spine,DC1-SPINE3,Ethernet12,spine,DC1-SPINE2,Ethernet12
spine,DC1-SPINE3,Ethernet13,spine,DC1-SPINE4,Ethernet13
spine,DC1-SPINE4,Ethernet1,leaf,DC1-LEAF1,Ethernet4
spine,DC1-SPINE4,Ethernet2,leaf,DC1-LEAF2,Ethernet4
spine,DC1-SPINE4,Ethernet3,leaf,DC1-LEAF3,Ethernet4
spine,DC1-SPINE4,Ethernet4,leaf,DC1-LEAF4,Ethernet4
spine,DC1-SPINE4,Ethernet11,spine,DC1-SPINE1,Ethernet13
spine,DC1-SPINE4,Ethernet12,spine,DC1-SPINE2,Ethernet13
spine,DC1-SPINE4,Ethernet13,spine,DC1-SPINE3,Ethernet13
